variable,maximum,minimum,factormin,factormax,returnmin,returnmax
tradeprofit,-88,-88,-0.0004970207,-0.0004970207,-4.627262717,-4.627262717
tradeamount,10000,10000,190177.113912791,190177.113912791,190177.228703049,190177.228703049
buyvariable,17.7055,17.7055,17.7055000053,17.7055000053,17.8655689649,17.8655689649
sellvariable,17.6967,17.6967,17.6966999946845,17.6966999946845,17.5381440392595,17.5381440392595
profitfactor,-0.000497021,-0.000497021,-0.000497021,-0.000497021,-0.0094522019,-0.0094522019
